# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   MB/s   MB/s 
    3     16     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    4     26     23      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    5      8     23      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    6     17     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    7     15     24      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    0     38     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      2      1 
    1     24     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      2      1 
    2     19     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    3     16     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      2      1 
    4     25     23      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    5      7     23      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    6     17     24      -      0      2      0      0      0      0    405     22    100      0      2      1      0      1      1 
    7     14     24      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    0     38     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      2 
    1     24     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    2     19     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    3     16     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    4     25     23      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      2 
    5      8     23      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    6     17     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    7     14     24      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    0     38     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    1     24     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    2     19     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    3     16     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    4     25     23      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    5      8     23      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    6     17     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      2 
    7     14     24      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      2 
    0     38     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    1     24     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    2     19     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    3     16     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    4     26     23      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    5      8     23      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    6     17     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    7     14     24      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    0     38     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    1     24     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    2     18     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    3     16     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   MB/s   MB/s 
    4     26     23      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    5      8     23      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    6     17     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    7     14     24      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    0     39     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    1     24     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    2     19     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    3     16     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    4     26     23      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    5      8     23      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    6     17     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    7     14     24      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    0     39     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      2 
    1     24     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      2 
    2     19     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    3     16     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      2 
    4     26     23      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    5      8     23      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    6     17     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    7     14     24      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    0     38     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    1     24     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    2     18     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    3     16     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    4     26     23      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    5      7     23      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    6     17     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      2 
    7     14     24      -      0      2      0      0      0      0    405     22      0      0      2      1      0      1      1 
    0     38     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      2 
    1     24     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    2     18     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      2 
    3     16     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      2 
    4     25     23      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    5      7     23      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    6     17     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    7     14     24      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    0     38     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    1     24     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    2     19     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    3     16     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    4     26     23      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    5      7     23      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    6     17     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    7     14     24      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   MB/s   MB/s 
    0     39     24      -      0      1      0      0      0      0    405     22    100      0      2      1      0      1      4 
    1     24     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      4 
    2     18     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      2 
    3     16     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      2 
    4     25     23      -      0      0      0      0      0      0    405     22    100      0      2      1      0      2      1 
    5      7     23      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    6     17     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    7     14     24      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    0     38     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    1     24     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    2     18     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    3     16     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    4     25     23      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    5      8     23      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    6     17     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      3      1 
    7     14     24      -      0      0      0      0      0      0    405     22      0      0      2      1      0      2      1 
    0     38     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    1     24     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    2     19     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    3     16     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    4     25     23      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    5      8     23      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    6     17     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    7     14     24      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    0     38     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    1     24     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    2     18     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    3     16     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    4     25     23      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    5      8     23      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    6     17     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    7     14     24      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    0     38     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    1     24     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    2     18     24      -      0      2      0      0      0      0    405     22    100      0      2      1      0      1      1 
    3     16     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    4     26     23      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    5      7     23      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    6     17     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    7     14     24      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    0     38     24      -      0      0      0      0      0      0    405     21    100      0      2      1      0      1      1 
    1     24     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      2      2 
    2     18     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    3     16     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   MB/s   MB/s 
    4     26     23      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    5      7     23      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    6     17     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    7     14     24      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    0     38     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    1     24     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    2     18     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    3     16     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    4     26     23      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    5      7     23      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      2 
    6     17     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    7     14     24      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    0     38     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      2 
    1     24     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    2     18     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    3     16     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    4     26     23      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    5      7     23      -      0      0      0      0      0      0    405     21      0      0      2      1      0      1      1 
    6     17     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    7     14     24      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      2 
    0     38     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    1     24     24      -      0      1      0      0      0      0    405     22    100      0      2      1      0      1      1 
    2     18     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    3     16     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    4     26     23      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    5      7     23      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    6     18     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    7     14     24      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    0     38     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      2 
    1     24     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    2     18     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      2 
    3     16     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      2 
    4     27     23      -      0      0      0      0      0      0    405     22    100      0      2      1      0      2      1 
    5      7     23      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    6     17     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    7     14     24      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    0     38     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    1     24     24      -      0      1      0      0      0      0    405     22    100      0      2      1      0      1      1 
    2     18     24      -      0      1      0      0      0      0    405     22    100      0      2      1      0      1      1 
    3     16     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    4     27     23      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    5      7     23      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    6     17     24      -      0      0      0      0      0      0    405     21    100      0      2      1      0      1      1 
    7     14     24      -      0      0      0      0      0      0    405     22      0      0      2      1      0      2      1 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   MB/s   MB/s 
    0     38     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    1     24     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      2 
    2     18     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    3     16     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    4     27     23      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    5      7     23      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    6     17     24      -      0      1      0      0      0      0    405     22    100      0      2      1      0      1      1 
    7     14     24      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    0     38     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    1     24     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    2     18     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    3     16     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    4     27     23      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    5      7     23      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    6     17     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    7     14     24      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    0     38     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    1     24     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    2     18     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    3     15     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    4     27     23      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    5      7     23      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    6     17     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    7     14     24      -      0      2      0      0      0      0    405     22      0      0      2      1      0      1      1 
    0     38     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    1     24     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      2      1 
    2     18     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    3     15     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    4     27     23      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    5      7     23      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    6     17     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    7     14     24      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    0     38     24      -      0      1      0      0      0      0    405     21    100      0      2      1      0      1      1 
    1     24     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    2     18     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    3     15     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    4     27     23      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    5      7     23      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      2 
    6     17     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    7     14     24      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    0     38     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      2 
    1     24     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    2     19     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    3     16     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   MB/s   MB/s 
    4     27     23      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    5      7     23      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      2 
    6     17     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    7     14     24      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    0     38     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    1     24     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    2     19     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    3     16     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    4     27     23      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    5      7     23      -      0      0      0      0      0      0    405     21      0      0      2      1      0      1      1 
    6     17     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    7     14     24      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    0     38     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      3 
    1     24     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      2 
    2     19     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      2 
    3     16     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      2 
    4     27     23      -      0      0      0      0      0      0    405     21    100      0      2      1      0      2      1 
    5      7     23      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    6     17     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    7     14     24      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    0     38     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    1     24     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    2     19     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    3     16     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    4     27     23      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    5      7     23      -      0      1      0      0      0      0    405     22      0      0      2      1      0      1      1 
    6     17     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      2      1 
    7     14     24      -      0      0      0      0      0      0    405     22      0      0      2      1      0      2      1 
    0     38     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      2 
    1     24     24      -      0      0      0      0      0      0    405     21    100      0      2      1      0      1      1 
    2     19     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    3     15     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      2 
    4     26     23      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    5      7     23      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    6     17     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    7     14     24      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    0     38     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    1     24     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    2     19     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    3     15     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    4     26     23      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    5      7     23      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    6     17     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    7     14     24      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   MB/s   MB/s 
    0     38     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    1     24     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    2     19     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    3     16     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    4     25     23      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    5      7     23      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    6     17     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    7     14     24      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    0     38     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    1     24     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    2     19     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    3     16     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    4     25     23      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    5      7     23      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    6     17     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    7     14     24      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    0     38     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    1     24     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    2     18     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    3     16     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    4     26     23      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      2 
    5      7     23      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      2 
    6     17     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    7     14     24      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    0     38     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      2 
    1     24     24      -      0      1      0      0      0      0    405     22    100      0      2      1      0      1      2 
    2     19     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    3     16     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    4     26     23      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    5      7     23      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    6     17     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    7     14     24      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      2 
    0     38     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    1     24     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    2     19     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    3     16     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    4     26     23      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    5      7     23      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    6     17     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    7     14     24      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    0     38     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      2 
    1     24     24      -      0      1      0      0      0      0    405     22    100      0      2      1      0      1      2 
    2     19     24      -      0      0      0      0      0      0    405     21    100      0      2      1      0      3      1 
    3     16     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      4      1 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   MB/s   MB/s 
    4     26     23      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    5      7     23      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    6     17     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    7     14     24      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    0     38     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    1     24     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    2     18     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    3     16     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    4     25     23      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    5      7     23      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    6     17     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      2      1 
    7     14     24      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
    0     38     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      2 
    1     24     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    2     18     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    3     16     24      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    4     25     23      -      0      0      0      0      0      0    405     22    100      0      2      1      0      1      1 
    5      7     23      -      0      0      0      0      0      0    405     22      0      0      2      1      0      1      1 
